PropertyID,SquareFeet,Address,BHKNumber,Latitude,Longitude,PriceInLakhs,AgentID
P43,1026.694045,"Wadala East,Lalitpur",2,19.014858,72.8662,220,Anonymous_agent
P44,1150.121065,"Near Ambamata Mandir,Vapi",2,20.36667,72.9,38,Anonymous_agent
P45,1200,"Patel Nagar-II,Ghaziabad",3,28.460928,77.039391,60,Anonymous_agent
P46,1228.571429,"Bolar,Mangalore",2,12.843852,74.845271,51.6,Anonymous_agent
P47,986.0164934,"Ayanambakkam,Chennai",2,13.077175,80.151453,55,Anonymous_agent
P48,1972.565158,"Sector 88 Faridabad,Faridabad",3,28.431862,77.351104,71.9,Anonymous_agent
P49,420.6166888,"Sindhi Society Chembur,Lalitpur",1,19.048403,72.88731,130,Anonymous_agent
P50,1275.009808,"Shiv Mandir,Siliguri",3,25.232239,71.392013,32.5,Anonymous_agent
P51,406.024219,"Kalyan (West),Maharashtra",1,19.245347,73.124577,39.9,Anonymous_agent
P52,950.0146156,"Nandanwan Phases 2,Aurangabad",2,19.88879,75.34344,65,Anonymous_agent
P53,5200.945626,"Sector-76 Noida,Noida",4,28.567633,77.383124,110,Anonymous_agent
P54,1049.969344,"Basaveshwara Nagar,Bangalore",2,12.985039,77.54383,68.5,Anonymous_agent
P55,1615.008157,"Maniktala,Kolkata",3,22.589694,88.372957,99,Anonymous_agent
P56,1100,"Jhotwara,Jaipur",2,26.955346,75.734793,27.5,Anonymous_agent
P57,1454.333915,"Poolakkaparambu,Ottapalam",3,10.77,76.38,50,Anonymous_agent
P58,1591.994542,"Sector-137 Noida,Noida",3,28.506454,77.409568,70,Anonymous_agent
P59,573.8769151,"Sector 86 Faridabad,Faridabad",2,28.406388,77.342588,22.1,Anonymous_agent
P60,1038.883942,"Powai,Mumbai",3,19.12,72.91,280,Anonymous_agent
P61,1538.141758,"Yelahanka,Bangalore",3,13.11389,77.59833,74,Anonymous_agent
P62,5000,"Malviya Nagar,Jaipur",2,26.850391,75.814198,85,Anonymous_agent
P63,1602.084012,"Sector 77 Faridabad,Faridabad",3,28.368269,77.37273,49.2,Anonymous_agent
P64,1200,"Madhuranagar,Vijayawada",2,16.51667,80.61667,45,Anonymous_agent
P65,760.07094,"Tilakwadi,Belgaum",2,15.86667,74.5,60,Anonymous_agent
P66,739.8273736,"tallaiya,Bhopal",2,23.25,77.41667,30,Anonymous_agent
P67,1260.02291,"Mulki,Mangalore",2,13.0915,74.7844,33,Anonymous_agent
P68,1100.151745,"Manewada,Nagpur",2,21.093676,79.111965,29,Anonymous_agent
P69,1146.480331,"Sector-8 Ulwe,Lalitpur",2,19.216097,72.821721,88.6,Anonymous_agent
P70,2224.059764,"Goregaon (East),Lalitpur",4,19.1615,72.8731,780,Anonymous_agent
P71,759.8784195,"Joka,Kolkata",2,22.452032,88.298947,30,Anonymous_agent
P72,2260.251857,"Wilson Garden,Bangalore",4,12.9506,77.5952,140,Anonymous_agent
P73,767.0182167,"DN Nagar,Maharashtra",3,20.742166,80.104602,240,Anonymous_agent
P74,2500,"Ramprastha,Ghaziabad",4,28.66667,77.41667,160,Anonymous_agent
P75,2286.236854,"Gomti Nagar Extension,Lucknow",4,21,77,100,Anonymous_agent
P76,1150.086256,"Sector-74 Noida,Noida",2,28.577673,77.389781,60,Anonymous_agent
P77,1004.932182,"New Panvel,Mumbai",2,18.966114,73.148278,81.5,Anonymous_agent
P78,800,"Prantik,Kolkata",2,22.56972,88.36972,34,Anonymous_agent
P79,993.75,"Subhas Pally,Siliguri",3,26.706157,88.439748,31.8,Anonymous_agent
P80,1298.139334,"Jatkhedi,Bhopal",2,23.169982,77.477889,30,Anonymous_agent
P81,996.797438,"Raj Nagar Extension,Ghaziabad",2,26.900926,75.775927,24.9,Anonymous_agent
P82,985.0194952,"CV Raman Nagar,Bangalore",2,12.98556,77.66389,48,Anonymous_agent
P83,1118.75,"Medavakkam,Chennai",3,12.91716,80.19287,53.7,Anonymous_agent
P84,2738.22563,"Basapura,Bangalore",3,12.863421,77.652405,150,Anonymous_agent
P85,1725.490196,"Deonar,Maharashtra",4,19.049513,72.919204,440,Anonymous_agent
P86,2488.004265,"Sector-82 Mohali,Mohali",3,30.654128,76.732427,140,Anonymous_agent
P87,1200.082764,"Satgachi,Kolkata",3,23.207157,88.404471,58,Anonymous_agent
P88,1584.283904,"Tilak Nagar,Kanpur",2,26.459137,79.506922,100,Anonymous_agent
P89,900,"Kalol,Gandhinagar",2,23.2257,72.51679,18,Anonymous_agent
P90,1193.440032,"Talegaon,Pune",2,18.441256,74.647361,60.4,Anonymous_agent
P91,1487.357462,"Mansarovar Extension,Jaipur",2,26.8626,75.7633,30,Anonymous_agent
P92,989.9029895,"Sector-143 Noida,Noida",2,28.5035,77.426447,50,Anonymous_agent
P93,1155.020213,"Bhandup (West),Maharashtra",2,19.147866,72.932609,140,Anonymous_agent
P94,949.893137,"Eswaran Koil Street,Pondicherry",2,11.93,79.83,80,Anonymous_agent
P95,875,"Sector-78 Noida,Noida",2,28.560719,77.386208,49,Anonymous_agent
P96,483.0917874,"Roha,Raigad",1,18.4543,73.1147,18,Anonymous_agent
P97,610.0660905,"Koyambedu,Chennai",2,13.069866,80.198423,48,Anonymous_agent
P98,1680.107527,"Naveen Nagar,Kanpur",3,28.861993,78.756315,75,Anonymous_agent
P99,1150.136038,"Nirman Nagar,Jaipur",2,19.980678,79.297436,93,Anonymous_agent
P100,1550.114497,"Sector-75 Noida,Noida",3,28.576117,77.382136,88,Anonymous_agent
P101,1699.834163,"Sahibabad,Ghaziabad",5,28.6711,77.3683,82,Anonymous_agent
P102,1600.170685,"Tripunithura,Kochi",3,9.952439,76.3632965,75,Anonymous_agent
P103,600.0566091,"Pen,Raigad",1,18.75,73.08,21.2,Anonymous_agent
P104,1429.200617,"Sector-66A Mohali,Mohali",2,30.661104,76.746082,64.9,Anonymous_agent
P105,1115.137998,"Dodda Banaswadi,Bangalore",2,13.008071,77.651295,80,Anonymous_agent
P106,2750.929368,"Sikandra,Agra",4,27.216013,77.950834,74,Anonymous_agent
P107,1811.196487,"Kanke,Ranchi",3,23.35556,85.33472,99,Anonymous_agent
P108,1045.036079,"Narendrapur,Kolkata",2,22.43917,88.39583,42,Anonymous_agent
P109,3433.996566,"Sector-65 Gurgaon,Gurgaon",3,28.403138,77.070052,340,Anonymous_agent
P110,1298.219585,"Electronics City Phase 1,Bangalore",3,12.840956,77.659441,70,Anonymous_agent
P111,1109.165207,"Katapady,Udupi",2,13.278237,74.747328,38,Anonymous_agent
P112,1304.034182,"Kanchpada,Maharashtra",4,18.96,72.82,470,Anonymous_agent
P113,1041.195111,"Sector-70 Noida,Noida",2,28.59632,77.38143,46,Anonymous_agent
P114,2135.748916,"Sector 82 Faridabad,Faridabad",3,28.394375,77.357227,83.7,Anonymous_agent
P115,1850.180505,"Noida Extension,Noida",3,28.579004,77.431173,82,Anonymous_agent
P116,1665.080875,"Kudasan,Gandhinagar",3,23.166495,72.63429,70,Anonymous_agent
P117,398.2621289,"Purseni,Lucknow",2,26.707154,80.982346,11,Anonymous_agent
P118,1005.025126,"Chandapura,Bangalore",2,12.80009,77.71182,48,Anonymous_agent
P119,1294.016156,"4 Bunglows,Mumbai",2,19.128324,72.825408,330,Anonymous_agent
P120,1123.188406,"Kaggadasapura,Bangalore",2,12.9816,77.6729,62,Anonymous_agent
P121,2655.807365,"Manpada,Maharashtra",4,19.239813,72.962722,300,Anonymous_agent
P122,1513.775356,"JP Nagar,Bangalore",3,12.905368,77.580403,100,Anonymous_agent
P123,1280,"Ponekkara,Kochi",3,9.930471,76.271273,48,Anonymous_agent
P124,410.0678733,"Sector-18 Vrindavan Colony,Lucknow",1,28.568846,77.324966,14.5,Anonymous_agent
P125,890.0451869,"Sector-25 Khandeshhwar,Mumbai",2,28.582887,77.339935,65,Anonymous_agent
P126,977.7082519,"Bicholi Mardana,Indore",2,22.1764,75.8193,25,Anonymous_agent
P127,1099.855282,"Syndicate Bank Colony,Bangalore",2,12.977126,77.577724,38,Anonymous_agent
P128,1050.241272,"Paota,Jodhpur",2,26.29564,73.03943,37,Anonymous_agent
P129,1740.139211,"Sector 19 Kharghar,Mumbai",3,19.048979,73.078232,180,Anonymous_agent
P130,650.1950585,"Vadavalli,Coimbatore",2,11.026678,76.903583,20,Anonymous_agent
P131,1355.01355,"Gopalpura Bypass,Jaipur",2,26.878068,75.779856,85,Anonymous_agent
P132,907.6305221,"Taloja,Maharashtra",2,21.56128,74.21238,33.9,Anonymous_agent
P133,1636.296021,"Budigere,Bangalore",3,13.141581,77.749756,88,Anonymous_agent
P134,900.2520706,"Tarsali,Vadodara",2,22.261354,73.215533,25,Anonymous_agent
P135,1318.044023,"Doddakannelli,Bangalore",2,12.905538,77.694263,100,Anonymous_agent
P136,1949.586451,"Sector-88 Mohali,Mohali",3,30.684523,76.691728,99,Anonymous_agent
P137,655.0802139,"Sector 20 Ulwe,Maharashtra",1,18.964489,73.019574,49,Anonymous_agent
P138,6974.645114,"New Alipore,Kolkata",4,22.53028,88.33417,1700,Anonymous_agent
P139,2700.075602,"Sector-98 Noida,Noida",4,28.535689,77.359671,250,Anonymous_agent
P140,850.0991782,"Ajmer Road,Jaipur",2,26.928785,75.828002,30,Anonymous_agent
P141,900.0163639,"Roopena Agrahara,Bangalore",2,12.928575,77.585721,55,Anonymous_agent
P142,2472.952087,"NIBM,Pune",4,18.475864,73.890009,160,Anonymous_agent
P143,904.0656205,"Suraksha Nagar,Bangalore",2,20.098413,79.10786,50.7,Anonymous_agent
P144,265.0033933,"Andheri (East),Lalitpur",1,19.1145,72.8712,82,Anonymous_agent
P145,1570.306924,"Tonk Road,Jaipur",3,26.16667,75.78333,110,Anonymous_agent
P146,955.4140127,"Hiranandani Estate,Lalitpur",2,19.255098,72.9815265,150,Anonymous_agent
P147,1000,"Sector-53 Noida,Noida",2,28.593566,77.362752,60,Anonymous_agent
P148,2494.747899,"Kadugodi,Bangalore",4,12.995285,77.766797,95,Anonymous_agent
P149,1150.130348,"Villivakkam Near ICF Bus Stand,Chennai",2,13.1101,80.2095,75,Anonymous_agent
P150,1210.136674,"Kamothe,Mumbai",2,19.0168,73.09646,85,Anonymous_agent
P151,1365.001365,"Sector-11 Ghansoli,Mumbai",2,19.126499,72.99956,200,Anonymous_agent
P152,1050.144395,"Manjalpur,Vadodara",2,22.271214,73.188827,40,Anonymous_agent
P153,476.0204689,"Madanandapuram,Chennai",1,13.020957,80.152774,40,Anonymous_agent
P154,985.452839,"Hajipur,Noida",2,28.538774,77.366515,21,Anonymous_agent
P155,1301.89498,"Sarjapur Road,Bangalore",2,12.86,77.786,90,Anonymous_agent
P156,4465.709729,"Sector-108 Noida,Noida",4,28.526624,77.376718,280,Anonymous_agent
P157,1192,"Nayapalli,Bhubaneswar",2,20.286571,85.810906,59.6,Anonymous_agent
P158,448.5310608,"Kanjur Marg (East),Mumbai",1,19.221571,73.042474,120,Anonymous_agent
P159,1060.070671,"Roadpali,Maharashtra",2,19.040066,73.115347,72,Anonymous_agent
P160,1415.09434,"Electronic City Phase II,Bangalore",3,12.8458,77.6727,79.5,Anonymous_agent
P161,1672.762741,"Sector-143B Noida,Noida",3,28.495803,77.426848,68.6,Anonymous_agent
P162,1315.265046,"RM Park,Valsad",2,20.606469,72.913465,33,Anonymous_agent
P163,540.1755571,"Saphale,Palghar",1,19.585537,72.836868,16,Anonymous_agent
P164,1530,"Harlur Road,Bangalore",3,12.904179,77.665897,76.5,Anonymous_agent
P165,619.6377502,"Byagadadhenahalli,Bangalore",2,12.758604,77.700377,26,Anonymous_agent
P166,2200,"Citylight Area,Surat",4,21.17,72.83,110,Anonymous_agent
P167,1757.188498,"Action Area IID,Kolkata",3,40.67197199,-86.15292909,77,Anonymous_agent
P168,1199.862873,"Doddakallasandra,Bangalore",2,12.880993,77.557654,70,Anonymous_agent
P169,1265.035255,"Bhuvaneshwari Nagar,Bangalore",2,13.033421,77.603954,61,Anonymous_agent
P170,676.0453302,"Ganganagar,Kolkata",2,22.301625,88.242147,17.3,Anonymous_agent
P171,800,"Mohan Nagar,Ghaziabad",2,28.678014,77.38296,42,Anonymous_agent
P172,750.0750075,"Maheshtala,Kolkata",2,22.486821,88.233267,25,Anonymous_agent
P173,1500,"Anna Nagar West,Chennai",2,13.086769,80.191135,150,Anonymous_agent
P174,1814.285714,"Khandagiri,Bhubaneswar",3,20.257483,85.780142,88.9,Anonymous_agent
P175,850.1594049,"Palghar,Palghar",2,19.696531,72.767746,24,Anonymous_agent
P176,909.4339623,"Keelkattalai,Chennai",2,12.957707,80.183671,48.2,Anonymous_agent
P177,910.0937672,"Ramna,Varanasi",2,25.248438,83.014116,33,Anonymous_agent
P178,2069.857697,"Sector-107 Noida,Noida",3,28.546788,77.378494,160,Anonymous_agent
P179,1241.80752,"Sargasan,Gandhinagar",2,23.182972,72.611485,36,Anonymous_agent
P180,2302.158273,"Sector-70 Mohali,Mohali",4,30.697795,76.714722,160,Anonymous_agent
P181,898.5074627,"Jalukbari,Guwahati",2,26.154874,91.670312,30.1,Anonymous_agent
P182,2235.294118,"C-Scheme,Jaipur",3,26.91667,75.86667,190,Anonymous_agent
P183,1350,"Sector-50 Noida,Noida",3,28.5679,77.3679,81,Anonymous_agent
P184,1100.110011,"Warje,Pune",2,18.485487,73.803773,70,Anonymous_agent
P185,612.1199755,"Mambakkam,Chennai",1,12.8356,80.1682,30,Anonymous_agent
P186,1100.352113,"Sai Nagar,Amravati",2,20.892133,77.741664,25,Anonymous_agent
P187,5194.805195,"Sector-128 Noida,Noida",5,28.522931,77.357078,400,Anonymous_agent
P188,2780.191138,"Sector-79 Noida,Noida",4,28.558047,77.392752,160,Anonymous_agent
P189,1000,"Venkojipalem,Visakhapatnam",2,17.7,83.25,50,Anonymous_agent
P190,995.8314034,"Sevasi,Vadodara",2,22.311323,73.121275,21.5,Anonymous_agent
P191,1646.706587,"Sector-90 Gurgaon,Gurgaon",3,28.406794,76.936447,110,Anonymous_agent
P192,2350.965575,"Sunny Enclave,Mohali",4,30.664299,76.817624,56,Anonymous_agent
P193,534.061239,"Sector 55 Faridabad,Faridabad",3,28.34532,77.299035,45,Anonymous_agent
P194,1100,"Majiwada,Mumbai",2,19.218498,72.992114,110,Anonymous_agent
P195,1968.888889,"GS Road,Guwahati",3,26.16667,91.76667,88.6,Anonymous_agent
P196,2196.354052,"Sector-110 Noida,Noida",3,28.536585,77.383669,100,Anonymous_agent
P197,2400,"Laxmi Nagar,Mumbai",4,22.281215,70.789479,300,Anonymous_agent
P198,1650.252861,"Hadapsar,Pune",2,18.49667,73.94167,62,Anonymous_agent
P199,632.0572845,"Vasai East,Mumbai",2,19.402549,72.854418,45.9,Anonymous_agent
P200,1034.965035,"Chinhat,Lucknow",2,26.882832,81.033767,37,Anonymous_agent
P201,1700.060716,"Chembur,Mumbai",3,19.05871,72.89969,420,Anonymous_agent
P202,1195.499297,"Karamsad,Anand",2,22.55,72.9,17,Anonymous_agent
P203,1677.468547,"Thakur Village,Mumbai",3,18.914541,72.818211,220,Anonymous_agent
P204,1699.716714,"Crossing Republik,Ghaziabad",3,28.629811,77.434197,48,Anonymous_agent
P205,1075.027996,"sector-121 Noida,Noida",2,28.602325,77.401994,48,Anonymous_agent
P206,485.790072,"Balkum,Mumbai",1,19.222101,72.988231,64.1,Anonymous_agent
P207,929.8998569,"Rajarajeshwari Nagar,Bangalore",2,12.919423,77.522774,52,Anonymous_agent
P208,1438.021283,"Hiranandani Gardens - Powai,Lalitpur",3,19.124896,72.893503,600,Anonymous_agent
P209,5299.954894,"Iblur Village,Bangalore",5,12.91668,77.59196,470,Anonymous_agent
P210,1020.181859,"Thanisandra,Bangalore",2,13.055985,77.622157,46,Anonymous_agent
P211,2400.384061,"Tiruchanur,Tirupati",2,13.603543,79.460402,50,Anonymous_agent
P212,1767.388826,"Kompally,Secunderabad",3,17.546483,78.480303,77.5,Anonymous_agent
P213,524,"Tathawade,Pune",1,18.6182,73.7447,26.2,Anonymous_agent
P214,923.7875289,"Sector-63A Gurgaon,Gurgaon",2,28.359199,76.836683,120,Anonymous_agent
P215,1657.275439,"Banashankari Stage VI,Bangalore",3,12.9223,77.5532,100,Anonymous_agent
P216,1100.478469,"Gorwa,Vadodara",2,22.3301,73.1611,23,Anonymous_agent
P217,1701.694915,"Bhatagaon,Raipur",3,21.152442,81.090184,50.2,Anonymous_agent
P218,451.0309278,"Shalimar Garden Extension II,Ghaziabad",1,28.689982,77.339807,14,Anonymous_agent
P219,1000,"Cantonment,Vizianagaram",2,18.11667,83.41667,30,Anonymous_agent
P220,1790.18976,"Sector-81 Gurgaon,Gurgaon",3,28.388225,76.946376,100,Anonymous_agent
P221,1100.352113,"Patuli GhoshPara,Kolkata",2,22.598675,88.438512,25,Anonymous_agent
P222,1232.162459,"Sector 80 Faridabad,Faridabad",2,28.381971,77.347688,44.9,Anonymous_agent
P223,497.988891,"Dharapur,Guwahati",1,26.13722,91.62778,26,Anonymous_agent
P224,990.0990099,"New Shanti Nagar,Raipur",2,21.250076,81.660749,25,Anonymous_agent
P225,674.0361283,"Punkunnam,Thrissur",2,10.5339,76.2085,25,Anonymous_agent
P226,775.1114886,"Sector-99 Noida,Noida",1,28.543278,77.358896,36.5,Anonymous_agent
P227,945.1795841,"Giduri,Satna",2,24.586021,80.787404,30,Anonymous_agent
P228,1089.028042,"Laxmi Nagar,Maharashtra",2,20.07911,73.911636,160,Anonymous_agent
P229,1265.111049,"Andalpuram,Madurai",2,9.90708,78.102316,90,Anonymous_agent
P230,1505.144771,"Zirakpur,Chandigarh",3,30.662283,76.822397,62.9,Anonymous_agent
P231,1400.059577,"Kathreguppe,Bangalore",3,12.913771,77.768321,94,Anonymous_agent
P232,728.9473684,"Pratap Nagar,Jaipur",1,26.807408,75.838659,27.7,Anonymous_agent
P233,750.1630789,"Pal Gam,Surat",1,21.189685,72.841062,23,Anonymous_agent
P234,1904.761905,"Sector-44 Chandigarh,Chandigarh",4,30.714837,76.751896,100,Anonymous_agent
P235,950.0285009,"Malad (East),Maharashtra",2,19.1758,72.8643,150,Anonymous_agent
P236,969.9321048,"Mylasandra,Bangalore",2,12.852041,77.616315,40,Anonymous_agent
P237,636.0078278,"Sector 35I Kharghar,Mumbai",1,19.038205,73.06612,52,Anonymous_agent
P238,4578.507945,"Sathya Sai Layout,Bangalore",4,12.929162,77.629041,340,Anonymous_agent
P239,700.0259269,"Wagholi,Pune",1,18.5823,73.983,27,Anonymous_agent
P240,1700.186606,"ISBT Tutikandi,Shimla",3,31.097061,77.154897,82,Anonymous_agent
P241,1847.187238,"Sector-86 Gurgaon,Gurgaon",3,28.397468,76.945489,110,Anonymous_agent
P242,715.0518413,"Jaisinghpura,Jaipur",2,26.532207,75.520538,20,Anonymous_agent
P243,1393.214227,"Nehru Nagar,Bangalore",3,19.062322,72.880754,85,Anonymous_agent
P244,900.3215434,"Sector-127 Mohali,Mohali",2,30.768683,76.650876,22.4,Anonymous_agent
P245,800,"City Center,Gwalior",2,26.209302,78.194369,35,Anonymous_agent
P246,445.0304928,"Kasar vadavali,Maharashtra",1,20.084522,72.900306,54,Anonymous_agent
P247,1015.113918,"Mira Road,Maharashtra",2,19.283359,72.864964,90,Anonymous_agent
P248,1200.417537,"Katara Hills,Bhopal",2,23.185756,77.498465,23,Anonymous_agent
P249,1060.147122,"Devanahalli,Bangalore",1,13.23,77.7,49,Anonymous_agent
P250,412.0213282,"Khodiyar Nagar,Vapi",1,20.379289,72.932048,8.5,Anonymous_agent
P251,1877.435352,"Sama Savli Road,Vadodara",3,22.340396,73.19706,53,Anonymous_agent
P252,1150.121065,"TC Palaya,Bangalore",2,50.817397,4.42145,38,Anonymous_agent
P253,910.0529101,"Vimal Nagar,Rajkot",2,22.281878,70.752639,43,Anonymous_agent
P254,1080,"KR Puram,Bangalore",2,13.010349,77.712151,32.4,Anonymous_agent
P255,570.0958798,"Ashoka Garden,Bhopal",2,23.259859,77.427777,22,Anonymous_agent
P256,1050.070432,"Sector 19 Ulwe,Maharashtra",2,19.049989,73.077321,82,Anonymous_agent
P257,800,"Garia,Kolkata",2,22.403867,88.470006,35,Anonymous_agent
P258,750.0551511,"Kengeri,Bangalore",2,12.919987,77.489265,34,Anonymous_agent
P259,1129.908619,"Sector-16 Ulwe,Lalitpur",2,28.409274,77.322293,91.5,Anonymous_agent
P260,900.116144,"Udaya Nagar,Bangalore",2,16.198332,77.34239,31,Anonymous_agent
P261,1870.32419,"Kundli,Sonipat",3,28.874383,77.113251,75,Anonymous_agent
P262,1288.102262,"Hennur Road,Bangalore",2,13.0306,77.6485,78.6,Anonymous_agent
P263,2461.538462,"Vaishali Nagar,Jaipur",4,26.91868,75.750399,160,Anonymous_agent
P264,1066.408143,"Bhayli,Vadodara",2,22.288976,73.128222,22,Anonymous_agent
P265,4299.996417,"Andheri (West),Mumbai",4,19.139348,72.820458,1200,Anonymous_agent
P266,816.8491699,"Worli,Lalitpur",2,19.0167,72.8167,370,Anonymous_agent
P267,1160.092807,"Kodigehalli,Bangalore",2,13.0583,77.5732,45,Anonymous_agent
P268,790.0334245,"Phase 1 Kammasandra,Bangalore",2,12.863492,77.74143,26,Anonymous_agent
P269,1358.024691,"Ekkaduthangal,Chennai",3,13.09,80.27,110,Anonymous_agent
P270,850.1594049,"Harinagar,Surat",1,21.800275,72.604993,24,Anonymous_agent
P271,1115.075825,"Sector 21 Ulwe,Mumbai",2,18.973908,73.025106,100,Anonymous_agent
P272,1080.080235,"Kasba,Kolkata",2,22.519728,88.38573,70,Anonymous_agent
P273,10050.25126,"Sector-124 Noida,Noida",6,28.548382,77.327819,1200,Anonymous_agent
P274,2489.40678,"Doddanekundi,Bangalore",3,12.980033,77.699328,94,Anonymous_agent
P275,1894.179894,"Naini,Allahabad",3,25.3945,81.8615,53.7,Anonymous_agent
P276,4000,"Sector-4 Vaishali,Ghaziabad",4,28.644695,77.338956,140,Anonymous_agent
P277,1269.146608,"Bicholi Hapsi,Indore",2,22.727017,75.934041,40.6,Anonymous_agent
P278,835.2668213,"Naya Raipur,Raipur",2,29.9055,75.2547,25.2,Anonymous_agent
P279,2100,"MG Road,Kochi",3,11.931023,79.828222,210,Anonymous_agent
P280,433333.3333,"Mulanthuruthy,Kochi",4,9.893479,76.408774,65,Anonymous_agent
P281,845.007783,"Kundrathur,Chennai",2,12.9974,80.0966,38,Anonymous_agent
P282,1490.312966,"Ramavarappadu,Vijayawada",3,16.531879,80.670951,60,Anonymous_agent
P283,1480.019734,"Radha Vihar,Jaipur",3,26.222384,85.862108,60,Anonymous_agent
P284,1510.159253,"Begur Road,Bangalore",3,12.8706,77.6279,110,Anonymous_agent
P285,999.6079969,"Dabhoi,Vadodara",2,22.12947,73.41756,25.5,Anonymous_agent
P286,1231.578947,"Kudlu,Bangalore",3,12.88784,77.654131,46.8,Anonymous_agent
P287,829.8850575,"Mangadu,Chennai",2,13.034709,80.105584,36.1,Anonymous_agent
P288,2030.205496,"Sector-91 Mohali,Mohali",4,30.698017,76.679016,82,Anonymous_agent
P289,804.8649615,"Bannerghatta Road,Bangalore",2,12.808137,77.58308,45,Anonymous_agent
P290,1400.051854,"Gopabandhu Nagar,Berhampur",3,20.277511,85.810411,54,Anonymous_agent
P291,1251.091068,"Sarthana Jakatnaka,Surat",2,21.235342,72.917751,43,Anonymous_agent
P292,711.0877008,"Anekal,Bangalore",2,12.732961,77.707059,27,Anonymous_agent
P293,748,"Baguihati,Kolkata",2,22.617564,88.427982,18.7,Anonymous_agent
P294,1700.071582,"Hazra Road,Kolkata",3,22.221142,88.281267,190,Anonymous_agent
P295,2181.818182,"S T Bed colony koramangala,Bangalore",3,12.9259,77.6229,240,Anonymous_agent
P296,1700.071582,"Sitapur National Highway,Lucknow",3,27.56667,80.68333,95,Anonymous_agent
